indic_ur,cities\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 
EC2021V,FR066C1	: 	3649 	6314 	5987 	5661 	5524 	5541 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3903 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,FR067C2	: 	: 	5271 	4933 	4733 	4647 	4622 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,FR068C2	: 	: 	8789 	8189 	7692 	7516 	7242 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,FR069C1	: 	3003 	2964 	2891 	2726 	2717 	2703 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2210 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,FR073C2	: 	: 	4749 	4453 	4264 	4197 	4237 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,FR074C2	: 	: 	4061 	3785 	3570 	3509 	3516 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,FR076C2	: 	3053 	4282 	4003 	3842 	3757 	3718 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,FR077C1	: 	3294 	4335 	4059 	3947 	3921 	3873 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3176 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,FR079C2	: 	2892 	3406 	3198 	3085 	3085 	3054 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,FR082C2	: 	: 	4143 	3926 	3674 	3667 	3569 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,FR084C1	: 	2963 	2862 	2589 	2415 	2461 	2376 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1687 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,FR086C2	: 	: 	4184 	3945 	3832 	3751 	3781 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,FR090C2	: 	: 	3272 	3082 	2989 	2927 	2875 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,FR093C2	: 	: 	4929 	4607 	4394 	4306 	4240 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,FR096C2	: 	: 	5349 	4972 	4782 	4653 	4576 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,FR099C1	: 	9292 	9029 	8491 	8158 	7863 	7711 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4803 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,FR104C2	: 	: 	2537 	2385 	2278 	2247 	2214 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,FR201C1	: 	: 	8561 	7976 	7642 	7371 	7282 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3627 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,FR202C1	: 	16520 	34592 	32205 	30667 	29345 	28461 	: 	: 	: 	: 	: 	: 	18956 	: 	: 	: 	16620 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,FR203C1	: 	69428 	80531 	75062 	72146 	69431 	67981 	: 	: 	: 	: 	: 	: 	49388 	: 	: 	: 	45053 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,FR205C2	: 	78987 	55204 	51458 	49796 	47737 	47163 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,FR206C1	: 	: 	22246 	20699 	19946 	19141 	18748 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	10902 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,FR207C1	: 	6219 	7753 	7150 	6704 	6429 	6443 	: 	: 	: 	: 	: 	: 	4752 	: 	: 	: 	4664 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,FR208C1	: 	: 	4112 	3737 	3535 	3337 	3323 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2322 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,FR209C2	: 	3615 	5547 	5166 	4927 	4852 	4834 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,FR210C1	: 	: 	5126 	4659 	4352 	4067 	3903 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,FR211C1	: 	: 	13291 	12290 	11768 	11328 	10928 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,FR212C1	: 	: 	10805 	9866 	9232 	8679 	8411 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,FR213C1	: 	: 	888 	783 	713 	654 	624 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,FR214C1	: 	6997 	8764 	8059 	7936 	7710 	7467 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,FR215C2	: 	17081 	23348 	21380 	20419 	19806 	19500 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,FR216C1	: 	: 	3957 	3577 	3344 	3120 	3065 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,FR217C1	: 	: 	3039 	2729 	2550 	2406 	2307 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,FR218C1	: 	: 	2428 	2281 	2149 	2064 	1956 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,FR219C1	: 	: 	8095 	7371 	6929 	6631 	6435 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,FR220C1	: 	: 	2974 	2727 	2549 	2466 	2432 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,FR221C1	: 	: 	3201 	2890 	2650 	2553 	2490 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,FR222C1	: 	: 	4630 	4254 	3981 	3766 	3616 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,FR223C1	: 	: 	2569 	2338 	2156 	2036 	2001 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,FR224C1	: 	: 	5271 	4778 	4429 	4195 	4015 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,FR304C1	: 	4146 	5456 	5019 	4631 	4465 	4475 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,FR305C1	: 	3626 	5040 	4582 	4340 	4144 	3930 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,FR306C1	: 	3974 	4418 	4010 	3813 	3596 	3553 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,FR308C1	: 	: 	7496 	6889 	6523 	6137 	6103 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,FR309C1	: 	: 	5524 	5142 	4829 	4614 	4549 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,FR310C1	: 	: 	3750 	3284 	3054 	2888 	2831 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,FR311C1	: 	: 	6011 	5521 	5237 	4970 	4897 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,FR312C1	: 	: 	4643 	4210 	3907 	3682 	3589 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,FR313C1	: 	: 	3872 	3477 	3152 	3001 	2948 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,FR322C1	: 	: 	8167 	7279 	6740 	6413 	6071 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,FR323C1	: 	: 	6076 	5367 	4974 	4751 	4572 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,FR324C1	: 	3870 	4164 	3926 	3761 	3592 	3546 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,FR501C1	: 	: 	7892 	7140 	6610 	6159 	5952 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,FR504C1	: 	: 	10821 	9749 	9049 	8478 	8311 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,FR505C1	: 	: 	3487 	3329 	3156 	3113 	3114 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,FR506C1	: 	4671 	6202 	5899 	5464 	5279 	5135 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,FR512C1	: 	: 	2919 	2593 	2438 	2303 	2220 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,FR518C1	: 	: 	7319 	6816 	6437 	6143 	5997 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,FR519C1	: 	: 	10781 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,HR001C1	: 	51141 	50780 	: 	51466 	: 	: 	: 	: 	: 	: 	: 	: 	98205 	: 	: 	19473 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,HR002C1	: 	6907 	6962 	: 	7135 	: 	: 	: 	: 	: 	: 	: 	: 	14150 	: 	: 	3252 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,HR003C1	: 	2160 	2154 	: 	2339 	: 	: 	: 	: 	: 	: 	: 	: 	4487 	: 	: 	767 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,HR004C1	: 	4317 	4183 	: 	3700 	: 	: 	: 	: 	: 	: 	: 	: 	6532 	: 	: 	2221 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,HR005C1	: 	9332 	9335 	: 	9083 	: 	: 	: 	: 	: 	: 	: 	: 	21019 	: 	: 	4552 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,HR006C1	: 	4003 	3993 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,HR007C1	: 	3989 	3966 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,HU	: 	680292 	668858 	: 	: 	: 	690375 	: 	: 	706780 	: 	: 	: 	708307 	: 	385344 	371778 	359325 	334702 	321115 	: 	: 	: 	: 	: 	: 	: 
EC2021V,HU001C1	: 	191312 	189098 	: 	: 	: 	190718 	: 	: 	190948 	: 	: 	: 	190562 	: 	: 	363748 	: 	: 	: 	: 	345262 	: 	: 	: 	: 	178448 
EC2021V,HU002C1	: 	10638 	10770 	: 	: 	: 	11886 	: 	: 	12697 	: 	: 	: 	13064 	: 	: 	16001 	: 	: 	: 	: 	13457 	: 	: 	: 	: 	: 
EC2021V,HU003C1	: 	10761 	10697 	: 	: 	: 	11184 	: 	: 	11786 	: 	: 	: 	12172 	: 	: 	13871 	: 	: 	: 	: 	11111 	: 	: 	: 	: 	: 
EC2021V,HU004C1	: 	12031 	12161 	: 	: 	: 	13562 	: 	: 	14105 	: 	: 	: 	14402 	: 	: 	17551 	: 	: 	: 	: 	23441 	: 	: 	: 	: 	: 
EC2021V,HU005C1	: 	17039 	17112 	: 	: 	: 	17888 	: 	: 	18097 	: 	: 	: 	17879 	: 	: 	15761 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,HU006C1	: 	13944 	13764 	: 	: 	: 	14496 	: 	: 	14906 	: 	: 	: 	14866 	: 	: 	13684 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,HU007C1	: 	11779 	11507 	: 	: 	: 	12222 	: 	: 	12648 	: 	: 	: 	13214 	: 	: 	19797 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,HU008C1	: 	9524 	9417 	: 	: 	: 	9618 	: 	: 	9822 	: 	: 	: 	9611 	: 	: 	8555 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,HU009C1	: 	8532 	8406 	: 	: 	: 	8917 	: 	: 	9660 	: 	: 	: 	10218 	: 	: 	12719 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,HU010C1	: 	6569 	6524 	: 	: 	: 	7054 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,HU011C1	: 	5100 	5131 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,HU012C1	: 	4085 	4069 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,HU013C1	: 	5724 	5671 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,HU014C1	: 	4477 	4542 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,HU015C1	: 	4895 	4925 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,HU016C1	: 	4704 	4724 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,HU017C1	: 	2854 	2809 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,HU018C1	: 	4949 	4910 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,HU019C1	: 	4623 	4503 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,IT	: 	: 	4338085 	4359087 	4390513 	4442452 	4450937 	4460891 	4470748 	4514022 	4480473 	: 	: 	4277875 	: 	: 	: 	: 	: 	: 	3965160 	: 	: 	: 	: 	: 	: 
EC2021V,IT001C1	: 	: 	248944 	248933 	249843 	248055 	246689 	242674 	241688 	241535 	237762 	: 	: 	224156 	: 	: 	: 	219608 	: 	: 	: 	174775 	: 	: 	: 	: 	111463 
EC2021V,IT002C1	: 	: 	180061 	178691 	177288 	175830 	175291 	172457 	171556 	172176 	170972 	: 	: 	166320 	: 	: 	: 	164338 	: 	: 	: 	134139 	: 	: 	: 	: 	93004 
EC2021V,IT002K1	: 	: 	368466 	367477 	364891 	366405 	366616 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,IT003C1	: 	: 	66758 	66760 	67642 	67500 	67421 	68074 	68833 	70365 	69805 	: 	: 	67711 	: 	: 	: 	68106 	: 	: 	: 	56681 	: 	: 	: 	: 	41387 
EC2021V,IT003K1	: 	: 	173008 	172889 	174539 	174948 	173863 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,IT004C1	: 	: 	80035 	80389 	81118 	82314 	82996 	82259 	82830 	83906 	83608 	: 	: 	81401 	: 	: 	: 	83131 	: 	: 	: 	68384 	: 	: 	: 	: 	56389 
EC2021V,IT005C1	: 	: 	36414 	36391 	36843 	36377 	36295 	36441 	36598 	36863 	36416 	: 	: 	36062 	: 	: 	: 	36656 	: 	: 	: 	30868 	: 	: 	: 	: 	24030 
EC2021V,IT006C1	: 	: 	46022 	46256 	46934 	47572 	47770 	47956 	48410 	48821 	49081 	: 	: 	47778 	: 	: 	: 	49359 	: 	: 	: 	41312 	: 	: 	: 	: 	35534 
EC2021V,IT007C1	: 	: 	41692 	41655 	41458 	42105 	42102 	42402 	42641 	43108 	43110 	: 	: 	41797 	: 	: 	: 	42875 	: 	: 	: 	35888 	: 	: 	: 	: 	30020 
EC2021V,IT008C1	: 	: 	24649 	24607 	24824 	24817 	25154 	25051 	25191 	25429 	25294 	: 	: 	24416 	: 	: 	: 	24430 	: 	: 	: 	20388 	: 	: 	: 	: 	15558 
EC2021V,IT009C1	: 	: 	39898 	40033 	39640 	39998 	40156 	40299 	40323 	40595 	40689 	: 	: 	39814 	: 	: 	: 	40427 	: 	: 	: 	32897 	: 	: 	: 	: 	32570 
EC2021V,IT010C1	: 	: 	21350 	21482 	21961 	22120 	22185 	22347 	22622 	22876 	22686 	: 	: 	22314 	: 	: 	: 	22568 	: 	: 	: 	19579 	: 	: 	: 	: 	15112 
EC2021V,IT011C1	: 	: 	22278 	22191 	22344 	22640 	22934 	23066 	23101 	23502 	23303 	: 	: 	22520 	: 	: 	: 	22400 	: 	: 	: 	18385 	: 	: 	: 	: 	13594 
EC2021V,IT012C1	: 	: 	23593 	23530 	23376 	23737 	23953 	23844 	23925 	24167 	24161 	: 	: 	23317 	: 	: 	: 	22752 	: 	: 	18181 	: 	: 	: 	: 	: 	14446 
EC2021V,IT013C1	: 	: 	5701 	5780 	5842 	6003 	6053 	6157 	6153 	6298 	6289 	: 	: 	6010 	: 	: 	: 	5895 	: 	4817 	: 	: 	: 	: 	: 	: 	4282 
EC2021V,IT014C1	: 	: 	9818 	9771 	9700 	9713 	9811 	9700 	9668 	9786 	9855 	: 	: 	9276 	: 	: 	: 	8906 	: 	: 	: 	6300 	: 	: 	: 	: 	5853 
EC2021V,IT015C1	: 	: 	12889 	13006 	13018 	13233 	13487 	13610 	13721 	13960 	14183 	: 	: 	13938 	: 	: 	: 	14625 	: 	: 	: 	11991 	: 	: 	: 	: 	12135 
EC2021V,IT016C1	: 	: 	14270 	14345 	14409 	14685 	14732 	14828 	14944 	15036 	14875 	: 	: 	14177 	: 	: 	: 	13964 	: 	: 	: 	11511 	: 	: 	: 	: 	9093 
EC2021V,IT017C1	: 	: 	8539 	8669 	8716 	8890 	8976 	9057 	9054 	9171 	9175 	: 	: 	8941 	: 	: 	: 	8986 	: 	: 	: 	7485 	: 	: 	: 	: 	5630 
EC2021V,IT019C1	: 	: 	12617 	12702 	12927 	12949 	12967 	12955 	12970 	13190 	13117 	: 	: 	12353 	: 	: 	: 	12384 	: 	: 	10190 	: 	: 	: 	: 	: 	7817 
EC2021V,IT020C1	: 	: 	4302 	4287 	4302 	4337 	4389 	4421 	4380 	4333 	4278 	: 	: 	4019 	: 	: 	: 	4136 	: 	: 	: 	3433 	: 	: 	: 	: 	2876 
EC2021V,IT021C1	: 	: 	6219 	6191 	6343 	6298 	6330 	6152 	6173 	6391 	6200 	: 	: 	5909 	: 	: 	: 	5573 	: 	: 	4267 	: 	: 	: 	: 	: 	2926 
EC2021V,IT022C1	: 	: 	10029 	10111 	10404 	10406 	10454 	10475 	10613 	10814 	10714 	: 	: 	10348 	: 	: 	: 	10487 	: 	9079 	: 	: 	: 	: 	: 	: 	7408 
EC2021V,IT023C1	: 	: 	5402 	5365 	5333 	5258 	5310 	5365 	5356 	5383 	5333 	: 	: 	5197 	: 	: 	: 	5089 	: 	: 	: 	4329 	: 	: 	: 	: 	3253 
EC2021V,IT024C1	: 	: 	6096 	6131 	6207 	6326 	6350 	6425 	6468 	6606 	6528 	: 	: 	6254 	: 	: 	: 	6158 	: 	: 	: 	5077 	: 	: 	: 	: 	3941 
EC2021V,IT025C1	: 	: 	9683 	9732 	9900 	9954 	9996 	10100 	10242 	10336 	10111 	: 	: 	9832 	: 	: 	: 	9781 	: 	: 	8389 	: 	: 	: 	: 	: 	5909 
EC2021V,IT026C1	: 	: 	9295 	9226 	9464 	9521 	9713 	9797 	9955 	10027 	9962 	: 	: 	9628 	: 	: 	: 	9290 	: 	7581 	: 	: 	: 	: 	: 	: 	5781 
EC2021V,IT027C1	: 	: 	16328 	16366 	16805 	16899 	17127 	17291 	17377 	17715 	17575 	: 	: 	16993 	: 	: 	: 	16625 	: 	: 	: 	14452 	: 	: 	: 	: 	11324 
EC2021V,IT028C1	: 	: 	23879 	23813 	23767 	24037 	24093 	24001 	23881 	24037 	23952 	: 	: 	23252 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,IT029C1	: 	: 	22136 	22069 	21924 	22083 	22155 	22030 	22016 	22192 	22016 	: 	: 	21347 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,IT030C1	: 	: 	17735 	17843 	17823 	17955 	17884 	17889 	18028 	18321 	18392 	: 	: 	17686 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,IT031C1	: 	: 	9123 	9199 	9219 	9369 	9315 	9223 	9319 	9470 	9249 	: 	: 	8847 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,IT032C1	: 	: 	11963 	12048 	12115 	12247 	12393 	12398 	12453 	12555 	12436 	: 	: 	11761 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,IT033C1	: 	: 	9827 	9908 	9974 	10147 	10255 	10218 	10251 	10343 	10287 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,IT034C1	: 	: 	10809 	10772 	10632 	10441 	10440 	10493 	10374 	10294 	10228 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,IT035C1	: 	: 	9537 	9575 	9690 	9796 	9827 	9751 	9780 	9873 	9843 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,IT036C1	: 	: 	7233 	7326 	7441 	7520 	7670 	7742 	7809 	7941 	7861 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,IT037C1	: 	: 	9299 	9304 	9315 	9368 	9336 	9088 	9151 	9299 	9114 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,IT038C1	: 	: 	6458 	6515 	6462 	6307 	6435 	6409 	6402 	6517 	6417 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,IT039C1	: 	: 	9184 	9263 	9336 	9423 	9489 	9516 	9466 	9616 	9566 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,IT040C1	: 	: 	9110 	9168 	9352 	9419 	9457 	9585 	9478 	9483 	9390 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,IT041C1	: 	: 	8577 	8579 	8506 	8533 	8610 	8617 	8536 	8509 	8440 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,IT042C1	: 	: 	9352 	9443 	9419 	9504 	9557 	9592 	9512 	9559 	9515 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,IT043C1	: 	: 	8109 	8243 	8316 	8503 	8558 	8525 	8567 	8613 	8660 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,IT044C1	: 	: 	7470 	7576 	7542 	7643 	7692 	7749 	7767 	7888 	7860 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,IT045C1	: 	: 	6111 	6138 	6216 	6337 	6443 	6380 	6415 	6473 	6439 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,IT046C1	: 	: 	7111 	7151 	7004 	7167 	7175 	7074 	7013 	7050 	7160 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,IT047C1	: 	: 	6034 	6128 	6240 	6371 	6441 	6555 	6597 	6708 	6593 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,IT048C1	: 	: 	5837 	5767 	5957 	5939 	6058 	6192 	6281 	6396 	6269 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,IT052C1	: 	: 	5250 	5375 	5345 	5454 	5497 	5515 	5476 	5478 	5509 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,IT054C1	: 	: 	4457 	4368 	4326 	4365 	4289 	4274 	4183 	4222 	4140 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
