indic_ur,cities\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 
EC2021V,CH002K1	: 	: 	27881 r	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,CH003C1	: 	14141 p	14057 r	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,CH003K1	: 	: 	22711 r	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,CH004C1	: 	11927 p	11820 r	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,CH004K1	: 	: 	16206 r	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,CH005C1	: 	10341 p	10549 r	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,CH005K1	: 	: 	15369 r	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,CH007C1	: 	5908 p	5848 r	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,CH008C1	: 	6913 p	6814 r	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,CH008K1	: 	: 	10520 r	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,CH009C2	: 	9332 p	8902 r	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,CH009K1	: 	: 	10683 r	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	53592 	50417 	65905 	: 	: 	: 	: 	: 	: 	45374 	: 	: 	: 	: 	31753 
EC2021V,CY001C1	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	14521 	13790 	19318 	: 	: 	: 	: 	: 	: 	13427 	: 	: 	: 	: 	9444 
EC2021V,CZ	: 	: 	: 	1446293 	1470929 	: 	1513556 	: 	: 	: 	: 	: 	: 	: 	: 	: 	214637 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,CZ001C1	: 	: 	: 	312195 	309659 	: 	290208 	: 	: 	: 	: 	: 	: 	: 	: 	: 	76053 	: 	: 	: 	: 	41853 	: 	: 	: 	: 	: u
EC2021V,CZ002C1	: 	: 	: 	68546 	69409 	: 	68410 	: 	: 	: 	: 	: 	: 	: 	: 	: 	17760 	: 	: 	: 	: 	11083 	: 	: 	: 	: 	: u
EC2021V,CZ003C1	: 	: 	: 	36930 	38247 	: 	38817 	: 	: 	: 	: 	: 	: 	: 	: 	: 	7346 	: 	: 	: 	: 	4371 	: 	: 	: 	: 	: u
EC2021V,CZ004C1	: 	: 	: 	26007 	27234 	: 	28307 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4976 	: 	: 	: 	: 	3059 	: 	: 	: 	: 	: u
EC2021V,CZ005C1	: 	: 	: 	10122 	10898 	: 	11120 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2425 	: 	: 	: 	: 	1649 	: 	: 	: 	: 	: u
EC2021V,CZ006C1	: 	: 	: 	14534 	14978 	: 	14870 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,CZ007C1	: 	: 	: 	14755 	15133 	: 	15576 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,CZ008C1	: 	: 	: 	14780 	15051 	: 	15475 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,CZ009C1	: 	: 	: 	14774 	15401 	: 	15555 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EC2021V,CZ010C1	: 	: 	: 	12456 	12577 	: 	12812 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
